game_link,name,price,genres,features,developer,publisher,release date,platform,os version,memory,storage,directx,gpu,languages,Critics Recommend,Top Critic Average,OpenCritic Rating
Tales of the Neon Sea₹399,Tales of the Neon Sea,₹399,PuzzleAdventure,Single PlayerController Support,Developer Palm Pioneer,PublisherThermite Games,Release Date04/01/21,Windows ,Windows 7,8 GB RAM,2 GB available space,Version 11,GeForce GT 730 OR Radeon HD 4830,null,null,null,null
The Legend of Tianding₹529,The Legend of Tianding,₹529,ActionRPGPlatformer,Single Player,DeveloperCreative Games & Computer Graphic Corp.,PublisherNeon Doctrine,Release Date11/02/21,PlatformWindowsWindows,Windows 10 Version 18362.0 or higher,8 GB RAM,2 GB available space,Version 11,Nvidia GTX 950 | AMD R7 370,null,84%,82,Strong
Shadowrun Returns₹459,Shadowrun Returns,₹459,Turn-BasedRPG,null,DeveloperHarebrained Schemes,PublisherParadox Interactive,Release Date08/27/20,PlatformWindowsWindows,Windows XP SP3/Vista/Windows 7,2 GB RAM,2 GB HD space,9,DirectX compatible 3D graphics card with at least 256MB of addressable memory,null,null,null,null
Brothers - A Tale of Two Sons₹829,Brothers - A Tale of Two Sons,₹829,Adventure,Single Player,DeveloperStarbreeze Studios AB,Publisher505 Games,Release Date02/17/22,Windows ,Windows XP SP3,2 GB RAM,2 GB RAM,Version 9.0,NVIDIA GeForce 8600 /ATI Radeon HD 2600,null,79%,77,Strong
Huntdown₹595,Huntdown,₹595,ActionPlatformer,Co-op,DeveloperEasy Trigger Games,PublisherCoffee Stain Publishing,Release Date05/12/20,PlatformWindowsWindowsMac OSMac OS,Windows 7/8.1/10 (32-bit versions),"Intel 4400, GeForce GT 8800, AMD Radeon HD 4650",2 GB RAM,2 GB available space,Version 11,null,89%,85,Mighty
The Walking Dead: Season One-60%₹670₹268,The Walking Dead: Season One,₹268,NarrationAdventure,Single PlayerController Support,DeveloperTelltale Games,PublisherSkybound Games,Release Date04/24/12,PlatformWindowsWindows,XP Service Pack 3,3 GB RAM,2 GB Space Free,ATI or NVidia card w/ 512 MB RAM (Not recommended for Intel integrated graphics),Direct X 9.0c,null,null,null,null
Clouzy₹349,Clouzy,₹349,AdventureIndieSimulation,Single Player,DeveloperTinymoon,PublisherFreedom Games,Release Date02/24/22,PlatformWindowsWindows,Windows Vista or higher,2 GB,2 GB Video Memory,DirectX 11,1 GB,"Text: English, French, Japanese, Korean, Spanish (Spain), Chinese (Simplified), German, Italian",null,null,null
Arise: A Simple Story₹595,Arise: A Simple Story,₹595,Adventure,Co-opSingle Player,DeveloperPiccolo,PublisherPiccolo,Release Date12/03/19,PlatformWindowsWindows,Windows 7 / 8.1 / 10 (64 bit),6 GB RAM,2 GB VRAM; NVIDIA GeForce GTX 670 or AMD Radeon equivalent,Version 11,6 GB available space,null,83%,82,Strong
"Vampyr₹1,564",Vampyr,"₹1,564",ActionRPG,Controller SupportSingle Player,DeveloperDONTNOD Entertainment,PublisherFocus Entertainment,Release Date06/05/18,PlatformWindowsWindows,Windows 7/8/10 (64 bits),8 GB,"2 GB, GeForce GTX 1050 (Legacy GPU: GeForce GTX 660) / Radeon R7 370",20 GB available space,null,null,45%,72,Fair
Recompile₹469,Recompile,₹469,ActionAdventureIndie,Single Player,Developer Phigames,PublisherDear Villagers,Release Date08/19/21,PlatformWindowsWindows,Windows 7+,8 GB,2.5 GB,null,null,null,19%,64,Weak
Dread Nautical₹595,Dread Nautical,₹595,ActionIndie,null,DeveloperZen Studios,PublisherZen Studios,Release Date04/29/20,PlatformWindowsWindows,Win7,4GB,2.5GB,11,Intel HD 4400 or Nvidia and AMD equivalent,null,36%,66,Fair
Just Die Already-100%₹459Free,Just Die Already,Free,Open WorldComedyAdventure,Co-opMultiplayerSingle Player,DeveloperDoubleMoose,PublisherCurve Digital,Release Date05/20/21,PlatformWindowsWindows,Windows 8 or higher,8 GB RAM,2.5GB,11,NVIDIA GeForce 750 Ti / AMD Radeon R7 260X,null,null,null,null
Monster Jam Steel Titans 2₹909,Monster Jam Steel Titans 2,₹909,ActionRacing,null,DeveloperRainbow Studios,PublisherTHQ Nordic,Release Date03/02/21,PlatformWindowsWindows,Windows 7/8/10 64-bit,4 GB,20 GB,11,Geforce GTX 460 or Radeon HD 7770 with 2 GB of VRAM,null,11%,60,Weak
"Warhammer 40,000: Battlesector₹968","Warhammer 40,000: Battlesector",₹968,ActionStrategy,Single Player,DeveloperBlack Lab Games,PublisherSlitherine Ltd.,Release Date07/22/21,PlatformWindowsWindows,64-bit Windows 10,4 GB,20 GB,11,Geforce GTX 750 (2GB VRAM),null,null,null,null
The Signifier: Director's Cut₹469,The Signifier: Director's Cut,₹469,AdventureIndie,Single Player,DeveloperPlaymestudio,PublisherRaw Fury,Release Date04/22/21,PlatformWindowsWindowsMac OSMac OS,Windows 7,8 GB,20 GB,11,NVIDIA GeForce 660 / AMD R9 270,null,29%,69,Fair
Aeterna Noctis₹699,Aeterna Noctis,₹699,ActionAdventure,Single PlayerController Support,DeveloperAeternum Game Studios,PublisherAeternum Game Studios,Release Date12/15/21,PlatformWindowsWindows,Windows 10,8 GB,20 GB,Version 11,Nvidia GTX 970 | AMD RX 570,null,null,null,null
Road 96₹596,Road 96,₹596,AdventureIndie,Single PlayerController Support,DeveloperDigixart,PublisherRavenscourt,Release Date08/16/21,PlatformWindowsWindows,Windows 7,8GB,20 GB,11,NVIDIA GTX 1060 or equivalent,null,73%,77,Strong
Encased₹699,Encased,₹699,ActionRPGAction-AdventureAdventure,Single Player,Developer Dark Crystal Games,PublisherPrime Matter,Release Date09/07/21,PlatformWindowsWindows,"WINDOWS® 7, 8, 8.1, 10",4 GB RAM,20 GB available space,Version 11,NVIDIA® GeForce® GTX 660m or AMD Radeon™ R7 260x (2GB of video memory),null,58%,74,Fair
Obduction₹709,Obduction,₹709,PuzzleAdventureIndie,Single Player,"DeveloperCyan, Inc.","PublisherCyan, Inc.",Release Date07/15/21,Windows ,Windows 7 SP1 64 bit,8 GB RAM,20 GB available space,DirectX 11,GeForce 660 GTX w/1GB / AMD 7700 series w/1GB equivalent or better,null,43%,72,Fair
Myst₹709,Myst,₹709,PuzzleAdventure,Single PlayerVR,"DeveloperCyan Worlds, Inc.","PublisherCyan Worlds, Inc.",Release Date08/26/21,Windows ,Windows 10,8 GB RAM,20 GB available space,DirectX 11,NVIDIA GTX 1050 Ti / AMD Radeon RX 570 or greater,null,54%,74,Fair
"Prey₹1,799",Prey,"₹1,799",ActionFirst PersonAction-AdventureShooterAdventure,Single Player,DeveloperArkane Studios,PublisherBethesda Softworks,Release Date09/09/21,Windows ,Windows 7/8/10 (64-bit versions),8 GB RAM,20 GB available space,"GTX 660 2GB, AMD Radeon 7850 2GB",Requires a 64-bit processor and operating system,null,75%,81,Strong
In Sound Mind₹759,In Sound Mind,₹759,HorrorAdventure,Single Player,DeveloperWe Create Stuff,PublisherModus Games,Release Date09/28/21,PlatformWindowsWindows,64-bit Windows 7,8 GB RAM,20 GB available space,Nvidia GeForce GTX 960 / AMD Radeon R9 280,null,null,42%,74,Fair
"NARAKA: BLADEPOINT₹1,199",NARAKA: BLADEPOINT,"₹1,199",Action,Multiplayer,Developer24 Entertainment,PublisherNetEase Montreal,Release Date12/08/21,Windows ,Windows 10 64-bit,8 GB RAM,20 GB available space,Version 11,NVIDIA GeForce GTX 750TI or equivalent,null,null,null,null
"Ghostwire: Tokyo₹2,499",Ghostwire: Tokyo,"₹2,499",ActionAction-AdventureAdventure,Single Player,DeveloperTango Gameworks,PublisherBethesda Softworks,Release Date03/25/22,PlatformWindowsWindows,64-BIT WINDOWS 10 VERSION 1909 OR HIGHER,12 GB,20 GB AVAILABLE SPACE (SSD RECOMMENDED),VERSION 12,NVIDIA GTX 1060 OR AMD RX 5500 XT (VRAM 6 GB OR HIGHER),null,65%,77,Strong
"Maneater₹1,117",Maneater,"₹1,117",ActionRPG,Single Player,Developer Tripwire Interactive,PublisherTripwire Interactive,Release Date05/22/20,PlatformWindowsWindows,Windows 10,8 GB RAM,20 GB of space,DirectX: Version 11,Intel HD 5500,null,null,null,null
Cave Story+₹349,Cave Story+,₹349,ActionAdventurePlatformer,Controller Support,"DeveloperNicalis, Inc./Studio Pixel","PublisherNicalis, Inc.",Release Date12/03/20,PlatformWindowsWindows,Windows XP,128 MB RAM,200 MB,64MB RAM,null,null,94%,88,Mighty
Little Inferno₹446,Little Inferno,₹446,IndieSimulationPuzzle,Single Player,DeveloperTomorrow Corporation,PublisherTomorrow Corporation,Release Date11/19/12,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,"Win 7, Vista and XP",1GB,200 MB,You will need a graphics card that supports Shader Model 2.0 or greater and DirectX 9.0c.,null,null,null,null,null
Neurodeck₹439,Neurodeck,₹439,IndieRPGStrategy,Single Player,DeveloperTavroxGames,PublisherGoblinz Publishing,Release Date03/18/21,PlatformWindowsWindowsMac OSMac OS,Win 10,2 GB,200 MB,512 MB,null,null,null,null,null
Loop Hero₹499,Loop Hero,₹499,Card GameIndie,Single Player,DeveloperFour Quarters,PublisherDevolver Digital,Release Date03/04/21,PlatformWindowsWindowsMac OSMac OS,"Windows 7, 8.1, 10 x64",2 GB,200 MB,"GeForce 7300 GT (512 MB), Radeon X1300 Pro (256 MB)",null,null,91%,84,Mighty
Wanna Survive₹349,Wanna Survive,₹349,RPGStrategyAdventure,Single Player,DeveloperPINIX Games,"PublisherNicalis, Inc.",Release Date05/21/21,PlatformWindowsWindows,"Windows 7, 64 bit",2 GB RAM,200 MB,null,null,null,null,null,null
Jetboard Joust₹239,Jetboard Joust,₹239,ActionIndie,Single PlayerController Support,DeveloperBitbull LTD,PublisherFreedom Games,Release Date08/20/21,Windows ,"Windows 8, 64 bit",2GB,200MB,Requires OpenGL Compatible Graphics Driver,null,null,null,null,null
Ancient Enemy₹349,Ancient Enemy,₹349,Card GameIndie,null,DeveloperGrey Alien Games,PublisherGrey Alien Games,Release Date03/18/21,Windows ,Windows 7,4GB,200MB,9,512MB VRAM,null,null,null,null
Chivalry 2₹939,Chivalry 2,₹939,ActionFirst Person,Multiplayer,DeveloperTorn Banner Studios,PublisherTripwire Interactive,Release Date06/08/21,PlatformWindowsWindows,Windows 10 64-bit,8GB,20GB,Nvidia GeForce GTX 660 or AMD Radeon HD 7870 2 GB,null,null,84%,82,Strong
"King's Bounty II₹1,899",King's Bounty II,"₹1,899",RPGAdventure,Single Player,Developer1C Entertainment,"PublisherPrime Matter,1C Entertainment",Release Date08/24/21,PlatformWindowsWindows,Windows 10,8GB RAM,20GB available place (HDD),GeForce GTX 970 | AMD Radeon RX 480 (4GB),null,null,null,null,null
"MotoGP™21₹1,199",MotoGP™21,"₹1,199",SimulationRacing,MultiplayerSingle Player,DeveloperMilestone S.r.l.,PublisherMilestone S.r.l.,Release Date04/22/21,PlatformWindowsWindows,Windows 8.1 64-Bit or later,8 GB,22 GB,11,"NVIDIA GeForce GTX 1050 with 2 GB VRAM or more, AMD Radeon HD 7950 with 2 GB VRAM or more",null,68%,77,Strong
Syberia: The World Before₹939,Syberia: The World Before,₹939,PuzzleNarrationAdventure,Single PlayerController Support,DeveloperKoalabs,PublisherMicroids,Release Date03/18/22,PlatformWindowsWindows,Windows 7 or higher,8 GB,22 GB,DirectX 11,Nvidia GTX 750 Ti or Amd radeon HD 7850 / R7 260X,null,null,null,null
SOMA₹819,SOMA,₹819,HorrorNarrationSurvival,Controller SupportSingle Player,DeveloperFrictional Games,PublisherFrictional Games,Release Date09/22/15,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,64-bit Windows Vista,4 GB RAM,25 GB,NVIDIA GeForce GTX 260 / AMD Radeon HD 5750. OpenGL 3.3,null,null,80%,83,Strong
"BIOMUTANT₹1,889",BIOMUTANT,"₹1,889",ActionRPGAdventure,Single Player,DeveloperExperiment 101,PublisherTHQ Nordic,Release Date05/25/21,PlatformWindowsWindows,Windows 7/8.1/10 (64 bit),8 GB,25 GB,11,4 GB Direct3D 11 capable video card - GeForce GTX 960 or Radeon R9 380,null,38%,67,Fair
"Elite Dangerous₹1,937",Elite Dangerous,"₹1,937",Action,MultiplayerSingle Player,DeveloperFrontier Developments,PublisherFrontier Developments,Release Date11/19/20,Windows ,Windows 7/8/10 64-bit,6 GB RAM,25 GB available space,Version 11,Nvidia GTX 470/AMD R7 240,null,72%,79,Strong
"F.I.S.T.: Forged In Shadow Torch₹1,299",F.I.S.T.: Forged In Shadow Torch,"₹1,299",ActionPlatformer,Single Player,DeveloperTiGames,PublisherAntiidelay,Release Date12/14/21,PlatformWindowsWindows,Windows 10,8G RAM,25 GB available space,NVIDIA GTX 960 or AMD Radeon R9 280,null,null,79%,80,Strong
Into the Breach₹446,Into The Breach,₹446,Turn-BasedRogue-LiteStrategy,Single Player,DeveloperSubset Games,PublisherSubset Games,Release Date02/27/18,PlatformWindowsWindowsMac OSMac OS,Windows 7+,1 GB,250 MB,null,null,null,90%,88,Mighty
The Textorcist: The Story of Ray Bibbia₹446,The Textorcist: The Story of Ray Bibbia,₹446,ActionIndie,null,DeveloperMorbidWare,PublisherHeadup GmbH,Release Date11/12/20,PlatformWindowsWindowsMac OSMac OS,Windows 7,2 GB RAM,250 MB available space,Version 9.0c,null,null,64%,78,Strong
Costume Quest₹297,Costume Quest,₹297,RPGAdventure,Single Player,DeveloperDouble Fine Productions,PublisherDouble Fine Productions,Release Date10/19/10,PlatformWindowsWindows,Windows XP SP3,1 GB RAM,"256 MB GeForce 7600GS, Radeon X1600, or Intel HD Graphics",1.0 GB free hard drive space,null,null,null,null,null
Tom Clancy's Splinter Cell₹249,Tom Clancy's Splinter Cell,₹249,ActionStealth,null,DeveloperUbisoft,PublisherUbisoft,Release Date03/11/21,Windows ,Windows® 2000/XP,32 MB 3D video card,256 MB or above,Direct X 8.1 compliant sound card,1.5 GB,null,null,null,null
Pascal's Wager: Definitive Edition₹469,Pascal's Wager: Definitive Edition,₹469,ActionRPG,Single PlayerController Support,DeveloperTipsWorks,PublisherGiant Mobile,Release Date06/23/21,Windows ,"Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit",4 GB,25GB,DirectX 11,NVIDIA® GeForce GTX 750 Ti / AMD Radeon HD 7950,null,null,null,null
"Aven Colony₹1,250",Aven Colony,"₹1,250",SimulationCity BuilderStrategy,Single Player,Developer Mothership Entertainment LLC,PublisherTeam17,Release Date11/04/21,Windows ,Windows 7 64-bit,4GB RAM,25GB,GeForce GTX 470 or AMD Radeon HD 7850,null,null,43%,72,Fair
No Straight Roads₹589,No Straight Roads,₹589,ActionOpen World,Single Player,DeveloperMetronomik,PublisherFireshine Games,Release Date08/25/20,PlatformWindowsWindows,Windows 7,6GB RAM,25GB,NVIDIA GeForce GTX 680 2GB / AMD Radeon™ HD 7970,null,null,null,null,null
"HUMANKIND™ Standard Edition₹2,399",HUMANKIND™,"₹2,399",Strategy,MultiplayerSingle Player,DeveloperAMPLITUDE Studios,PublisherSEGA,Release Date08/17/21,PlatformWindowsWindowsMac OSMac OS,OS: Win 7 64-bit,8GB,25GB,11,NVIDIA GTX 770 / AMD R9 290,null,64%,80,Strong
The Forgotten City₹589,The Forgotten City,₹589,ActionIndiePuzzleRPGAdventure,null,DeveloperModern Storyteller,PublisherPlug In Digital,Release Date07/28/21,PlatformWindowsWindows,Windows 7 SP1 64-bit or newer,8 GB,26 GB space,DirectX 11,NVIDIA GeForce GTX 750 Ti 2GB | AMD Radeon R7 265 or better,null,91%,84,Mighty
"Sonic Colors: Ultimate₹2,999",Sonic Colors: Ultimate,"₹2,999",ActionCasualPlatformer,Co-opSingle Player,DeveloperBlind Squirrel Entertainment,PublisherSEGA,Release Date09/07/21,PlatformWindowsWindows,Windows 10,8 GB RAM,26.5 GB,DirectX 11,"NVIDIA GeForce GTX 650 Ti, 2GB or AMD Radeon HD 7790, 2 GB",null,49%,74,Fair
Lovecraft's Untold Stories₹459,Lovecraft's Untold Stories,₹459,ActionIndieShooter,Single Player,DeveloperLLC Blini Games,Publisher1C Entertainment,Release Date07/20/21,Windows ,Windows 7 / Windows 8 / Windows 10,2 GB RAM,2GB,9.0c,Intel HD 3000 GPU / AMD HD 5450 / Nvidia 9400 GT,null,null,null,null
Narita Boy₹589,Narita Boy,₹589,AdventureIndie,Single Player,DeveloperStudio Koba,PublisherTeam17,Release Date03/30/21,PlatformWindowsWindows,Windows 7,2GB,2GB,10,"NVIDIA GeForce 9800 GTX, 1 GB or AMD Radeon HD 4870, 1 GB",null,71%,77,Strong
Spelldrifter₹469,Spelldrifter,₹469,RPG,Controller SupportSingle Player,DeveloperFree Range Games,PublisherFree Range Games,Release Date04/19/21,Windows ,Windows 7+,2GB RAM,2GB,Version 10,1GB Video RAM,null,null,null,null
Moving Out₹569,Moving Out,₹569,CasualParty,Co-opSingle Player,DeveloperSMG Studio & Devm Games,PublisherTeam17,Release Date12/28/21,Windows ,Windows 7 SP1 (64-bit),4 GB RAM,2GB,12,Intel UHD 630 or Radeon Vega 8,null,74%,77,Strong
Going Under₹521,Going Under,₹521,IndieDungeon Crawler,Single Player,DeveloperAggro Crab Games,PublisherTeam17 Digital Ltd,Release Date09/29/20,PlatformWindowsWindows,Windows 7 64-bit,4GB,2GB,10,"Nvidia GeForce GTS 450, 1 GB | AMD Radeon R7 250, 1 GB",null,81%,81,Strong
Scrapnaut₹329,Scrapnaut,₹329,ExplorationSurvivalOpen World,Co-opSingle Player,DeveloperSpiffyBit,PublisherRockGame S.A.,Release Date03/03/21,PlatformWindowsWindows,Windows 7 64 Bit,4GB,2GB,11,NVIDIA GeForce GTX 670,null,null,null,null
Rebel Cops₹470,Rebel Cops,₹470,ActionStrategyIndie,Single Player,DeveloperWeappy Studio,PublisherTHQ Nordic,Release Date01/24/22,Windows ,Windows 7 64-bit or higher,4GB,2GB,DirectX 10,"Intel UHD 620, GeForce GT 930MX, AMD R7 240 or equivalent",null,null,null,null
Hammerting₹655,Hammerting,₹655,SimulationRPG,Single Player,DeveloperWarpzone Studios,PublisherTeam17 Digital Ltd,Release Date10/27/20,PlatformWindowsWindows,Windows 10,4GB,2GB,"Nvidia GeForce GTX 660, 2 GB | AMD Radeon R7 360, 2 GB",Requires the graphics card to be compatible with Vulkan 1.1,null,null,null,null
Before We Leave₹595,Before We Leave,₹595,City BuilderStrategyIndie,Single Player,DeveloperBalancing Monkey Games,PublisherTeam17,Release Date05/08/20,PlatformWindowsWindowsMac OSMac OS,Windows 10 64 Bit,4GB,2GB,Version 11,NVIDIA GeForce GTX 550 Ti or AMD Radeon HD 4890,null,63%,76,Strong
Slipways₹399,Slipways,₹399,PuzzleStrategy,Single Player,DeveloperBeetlewing,PublisherBeetlewing,Release Date06/03/21,PlatformWindowsWindowsMac OSMac OS,Windows 7,4GB RAM,2GB,11,GeForce 7xx series or equivalent,null,null,null,null
The Last Campfire₹372,The Last Campfire,₹372,PuzzleAdventure,Single Player,DeveloperHello Games,PublisherHello Games,Release Date08/27/20,PlatformWindowsWindows,Windows 10 (64Bit),4GB RAM,2GB,Version 11,NVIDIA GTX 480/AMD Radeon 7870,null,null,null,null
Pathway₹525,Pathway,₹525,Turn-BasedRogue-LiteStrategy,Single Player,DeveloperRobotality,PublisherChucklefish,Release Date06/11/20,PlatformWindowsWindowsMac OSMac OS,Windows 7 (64bits),8GB,2GB,"Intel HD4000 or better, OpenGL 3.3",null,null,35%,69,Fair
Manifold Garden₹595,Manifold Garden,₹595,ExplorationPuzzleAdventure,Controller SupportSingle Player,DeveloperWilliam Chyr Studio,PublisherWilliam Chyr Studio,Release Date10/18/19,PlatformWindowsWindows,"Win 7, 8, 10","Intel Core i5-750, 2.66 GHz",2GB,null,null,null,89%,82,Strong
Stick It To The Man!₹186,Stick It To The Man!,₹186,ActionAdventurePlatformer,null,DeveloperZoink,PublisherRipstone,Release Date09/17/20,Windows ,Windows XP,2GB RAM,2GB available space,version 9,AMD Radeon 6310 / ATI Radeon HD 4650,null,83%,80,Strong
Hob₹521,Hob,₹521,ActionExplorationAction-AdventureAdventure,Single Player,DeveloperRunic Games,PublisherPerfect World Entertainment,Release Date04/02/20,PlatformWindowsWindows,Windows 7 SP1 / 8.1 / 10,4 GB,2GB of VRAM; NVIDIA GeForce GTX 500 Series / AMD Radeon HD 7000 Series,Version 11,null,null,63%,76,Strong
Enter the Gungeon₹521,Enter the Gungeon,₹521,ActionIndieAdventure,Controller SupportSingle Player,DeveloperDodge Roll,PublisherDevolver Digital,Release Date04/05/16,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,Windows 7 or later,GeForce 7600 GS (512 MB) or equivalent,2GB RAM,2GB HDD,null,null,90%,84,Mighty
Blade Strangers₹469,Blade Strangers,₹469,ActionFighting,MultiplayerSingle Player,"DeveloperStudio Saizensen Co., Ltd","PublisherNicalis, Inc.",Release Date10/06/21,Windows ,Windows 7/8.1/10 x64,4GB,2GB Space Available,Version 9.0c,OpenGL 3.1 compliant video card,null,40%,72,Fair
Amnesia: The Dark Descent₹521,Amnesia:  The Dark Descent,₹521,HorrorFirst Person,null,DeveloperFrictional Games,PublisherFrictional Games,Release Date04/30/20,PlatformWindowsWindowsMac OSMac OS,Windows XP,2 GB,3 GB,Radeon X1000/GeForce 6,Integrated graphics and very low budget cards might not work.,null,null,null,null
Shady Part of Me₹599,Shady Part of Me,₹599,IndiePuzzle,Single Player,DeveloperDouze Dixièmes,PublisherFocus Entertainment,Release Date12/11/20,PlatformWindowsWindows,Windows 7/8/10 (64-bit),4 GB,3 GB,11,"1 GB VRAM, AMD Radeon HD 5670 / Nvidia GeForce GT 440 / Intel HD 5200",null,79%,77,Strong
Fisti-Fluffs₹469,Fisti-Fluffs,₹469,CasualPartyIndie,Co-opMultiplayerSingle PlayerController Support,DeveloperPlayfellow Studio,"PublisherRogue Games, Inc.",Release Date09/23/21,PlatformWindowsWindows,64-bit Windows 7 / 8 / 10,4 GB,3 GB,11,"GTX 660, R9 270",null,null,null,null
Rogue Lords₹899,Rogue Lords,₹899,Rogue-LiteIndie,null,DeveloperLeikir Studio,PublisherNacon,Release Date09/30/21,PlatformWindowsWindows,Windows 7,4 GB,3 GB,11,"Nvidia GeForce GTX 650, 1GB | AMD Radeon HD 7770, 1GB",null,null,null,null
The Big Con₹459,The Big Con,₹459,ActionComedyAdventureIndie,Single Player,DeveloperMighty Yell,PublisherSkybound Games,Release Date08/31/21,PlatformWindowsWindows,Windows 7 64-bit,4 GB,3 GB,Direct X 11,AMD Radeon HD 7770 or dedicated equivalent,null,72%,74,Fair
Boyfriend Dungeon₹469,Boyfriend Dungeon,₹469,RPGRogue-Lite,Single PlayerController Support,DeveloperKitfox Games,PublisherKitfox Games,Release Date08/11/21,PlatformWindowsWindowsMac OSMac OS,Windows 7 (SP1+),4 GB,3 GB,DX11 capable,DX11 capable GPUs,null,58%,73,Fair
Zorya: The Celestial Sisters₹589,Zorya: The Celestial Sisters ™,₹589,PuzzleIndie,Co-opSingle Player,DeveloperMadLife Divertissement,"PublisherTLM Partners, Inc.",Release Date02/08/22,PlatformWindowsWindows,Windows 10,4 GB RAM,3 GB,DirectX 12,"GeForce GTX 760, 2 GB or Radeon R9 380, 4 GB",null,null,null,null
Aztech Forgotten Gods₹709,Aztech Forgotten Gods,₹709,ActionAdventureIndie,Single PlayerController Support,DeveloperLienzo,PublisherLienzo,Release Date03/10/22,PlatformWindowsWindows,WIndows 8,6 GB RAM,3 GB,DirectX 12,Intel iris Pro Graphics 580,null,18%,56,Weak
Raji: An Ancient Epic₹595,Raji: An Ancient Epic,₹595,ActionNarrationAction-AdventureAdventure,Single Player,DeveloperNodding Heads Games,PublisherSuper.com,Release Date10/15/20,PlatformWindowsWindows,Windows 7 64-bit,8 GB,3 GB,11,GeForce GTX 760 / AMD Radeon R9 270,null,44%,70,Fair
Out of the Park Baseball 22₹529,Out of the Park Baseball 22,₹529,Simulation,MultiplayerSingle Player,DeveloperOut of the Park Developments,PublisherOut of the Park Developments,Release Date09/23/21,Windows ,Win8.x/Win10,2 GB RAM,3 GB available space,null,null,null,null,null,null
Lost Words: Beyond the Page₹459,Lost Words: Beyond the Page,₹459,AdventurePlatformerIndie,Single Player,"DeveloperSketchbook Games, Fourth State",PublisherModus Games,Release Date04/06/21,PlatformWindowsWindows,Windows 7 64 Bit,2 GB RAM,3 GB available space,Version 11,Graphics Card with support for DirectX 11,null,70%,78,Strong
Never Alone (Kisima Ingitchuna)₹349,Never Alone (Kisima Ingitchuna),₹349,PlatformerIndie,Co-opController Support,"DeveloperUpper One Games, E-Line Media",PublisherE-Line Media,Release Date11/18/21,Windows ,Windows 7,2 GB RAM,3 GB available space,Version 9.0c,GeForce 240 GT or Radeon HD 6570,null,null,null,null
The Jackbox Party Pack 8₹709,The Jackbox Party Pack 8,₹709,Party,Co-opMultiplayer,"DeveloperJackbox Games, Inc.","PublisherJackbox Games, Inc.",Release Date10/14/21,PlatformWindowsWindowsMac OSMac OS,Windows 7+,4 GB RAM,3 GB available space,GeForce 500+ / Radeon 5000+ or Greater,Broadband Internet connection,null,58%,73,Fair
Mutazione₹521,Mutazione,₹521,Adventure,null,DeveloperDie Gute Fabrik,PublisherAkupara Games,Release Date03/04/20,PlatformWindowsWindowsMac OSMac OS,Windows 7,4 GB RAM,3 GB available space,GeForce 700 Series,null,null,80%,76,Strong
HyperParasite₹349,HyperParasite,₹349,ActionAction-AdventureAdventure,Single Player,DeveloperTroglobytes Games,"PublisherNicalis, Inc.",Release Date03/19/21,PlatformWindowsWindows,Windows 7/8.1/10 x64,4 GB RAM,3 GB available space,GeForce GTX 460 (1024 MB) / Radeon HD 6850 (1024 MB),null,null,42%,69,Fair
Cozy Grove₹459,Cozy Grove,₹459,CasualIndie,Single PlayerController Support,DeveloperSpry Fox,PublisherSpry Fox,Release Date04/08/21,PlatformWindowsWindows,Windows 10,4 GB Ram,3 GB available space,Intel HD Graphics 4000,null,null,null,null,null
DARQ: Complete Edition₹469,DARQ: Complete Edition,₹469,HorrorPuzzleAdventure,Single Player,DeveloperUnfold Games,PublisherUnfold Games,Release Date10/28/21,PlatformWindowsWindows,Windows 7,4 GB RAM,3 GB available space,NVIDIA GeForce GTX 260 / ATI Radeon HD 4870,null,null,62%,75,Strong
"Fuga: Melodies of Steel₹2,174",Fuga: Melodies of Steel,"₹2,174",RPG,Single Player,DeveloperCyberConnect2,PublisherCyberConnect2,Release Date07/29/21,PlatformWindowsWindows,Windows 7/8/10 (64-bit OS required),4 GB RAM,3 GB available space,Version 11,"Radeon HD 6870, 1 GB / GeForce GTX 460, 768 MB",null,80%,82,Strong
Fort Triumph₹529,Fort Triumph,₹529,RPGStrategy,Co-opSingle Player,DeveloperCookieByte Entertainment,PublisherAll in! Games,Release Date08/17/21,Windows ,Windows 7 SP1+ (64bit),8 GB RAM,3 GB available space,Version 10,NVIDIA GeForce GT 630 or equivalent,null,53%,74,Fair
Figment₹521,Figment,₹521,ActionIndieAdventure,null,DeveloperBedtime Digital Games,PublisherBedtime Digital Games,Release Date03/26/20,PlatformWindowsWindows,Windows 7,8 GB RAM,3 GB available space,Version 11,"Nvidia Geforce GTX 480, Nvidia GeForce GTX 580M, AMD Radeon R7-265 or equivalent",null,69%,79,Strong
A Juggler's Tale₹499,A Juggler's Tale,₹499,PuzzleAdventurePlatformer,Single PlayerController Support,Developerkaleidoscube,PublisherMixtvision,Release Date08/27/20,PlatformWindowsWindows,Windows 7/8/10 64-bit,4 GB Ram,3 GB HDD Space,11,NVIDIA Geforce GTX 660 / Radeon HD7870,null,null,null,null
